YEAR,MO,DY,ALLSKY_SFC_SW_DWN,Solar_Output,Load_kWh,Energy_Gap,Diesel_Liters,Diesel_Cost_2025,Diesel_Cost_2026,Date,Battery_SOC,Battery_Discharge,Diesel_Liters_Battery,Diesel_Needed_Battery,Excess_Solar,Month,Month_No,CO2_Emissions,CO2_Emissions_Battery,CO2_Reduction,Solar_Contribution,Diesel_Reduction,Diesel_Saved
2025,3,28,5.5982,44.7856,35,0.0,0.0,0.0,0.0,2025-03-28,10.0,0.0,0.0,0.0,9.785600000000002,March,3,0.0,0.0,0.0,127.95885714285716,0.0,0.0
2025,3,29,6.702,53.616,35,0.0,0.0,0.0,0.0,2025-03-29,10.0,0.0,0.0,0.0,18.616,March,3,0.0,0.0,0.0,153.18857142857144,0.0,0.0
2025,3,30,6.1262,49.0096,35,0.0,0.0,0.0,0.0,2025-03-30,10.0,0.0,0.0,0.0,14.009599999999999,March,3,0.0,0.0,0.0,140.02742857142857,0.0,0.0
2025,3,31,6.329,50.632,35,0.0,0.0,0.0,0.0,2025-03-31,10.0,0.0,0.0,0.0,15.631999999999998,March,3,0.0,0.0,0.0,144.66285714285715,0.0,0.0
2025,4,1,5.3138,42.5104,35,0.0,0.0,0.0,0.0,2025-04-01,10.0,0.0,0.0,0.0,7.510399999999997,April,4,0.0,0.0,0.0,121.4582857142857,0.0,0.0
2025,4,2,3.3444,26.7552,35,8.244800000000001,2.0612000000000004,3091.8000000000006,3710.1600000000008,2025-04-02,1.7551999999999985,8.244800000000001,1.3112000000000004,0.0,0.0,April,4,5.524016000000001,3.514016000000001,2.0100000000000002,76.44342857142857,0.75,0.75
2025,4,3,6.1558,49.2464,35,0.0,0.0,0.0,0.0,2025-04-03,10.0,0.0,0.0,0.0,14.246400000000001,April,4,0.0,0.0,0.0,140.704,0.0,0.0
2025,4,4,6.967,55.736,35,0.0,0.0,0.0,0.0,2025-04-04,10.0,0.0,0.0,0.0,20.735999999999997,April,4,0.0,0.0,0.0,159.24571428571429,0.0,0.0
2025,4,5,6.9036,55.2288,35,0.0,0.0,0.0,0.0,2025-04-05,10.0,0.0,0.0,0.0,20.2288,April,4,0.0,0.0,0.0,157.7965714285714,0.0,0.0
2025,4,6,6.0494,48.3952,35,0.0,0.0,0.0,0.0,2025-04-06,10.0,0.0,0.0,0.0,13.395200000000003,April,4,0.0,0.0,0.0,138.27200000000002,0.0,0.0
2025,4,7,6.2762,50.2096,35,0.0,0.0,0.0,0.0,2025-04-07,10.0,0.0,0.0,0.0,15.209600000000002,April,4,0.0,0.0,0.0,143.45600000000002,0.0,0.0
2025,4,8,6.2158,49.7264,35,0.0,0.0,0.0,0.0,2025-04-08,10.0,0.0,0.0,0.0,14.726399999999998,April,4,0.0,0.0,0.0,142.07542857142857,0.0,0.0
2025,4,9,5.634,45.072,35,0.0,0.0,0.0,0.0,2025-04-09,10.0,0.0,0.0,0.0,10.072000000000003,April,4,0.0,0.0,0.0,128.77714285714285,0.0,0.0
2025,4,10,4.9018,39.2144,35,0.0,0.0,0.0,0.0,2025-04-10,10.0,0.0,0.0,0.0,4.214399999999998,April,4,0.0,0.0,0.0,112.04114285714286,0.0,0.0
2025,4,11,5.1694,41.3552,35,0.0,0.0,0.0,0.0,2025-04-11,10.0,0.0,0.0,0.0,6.3552000000000035,April,4,0.0,0.0,0.0,118.15771428571429,0.0,0.0
2025,4,12,5.4998,43.9984,35,0.0,0.0,0.0,0.0,2025-04-12,10.0,0.0,0.0,0.0,8.998399999999997,April,4,0.0,0.0,0.0,125.70971428571427,0.0,0.0
2025,4,13,6.8234,54.5872,35,0.0,0.0,0.0,0.0,2025-04-13,10.0,0.0,0.0,0.0,19.587200000000003,April,4,0.0,0.0,0.0,155.96342857142858,0.0,0.0
2025,4,14,7.2559,58.0472,35,0.0,0.0,0.0,0.0,2025-04-14,10.0,0.0,0.0,0.0,23.047199999999997,April,4,0.0,0.0,0.0,165.84914285714285,0.0,0.0
2025,4,15,6.0631,48.5048,35,0.0,0.0,0.0,0.0,2025-04-15,10.0,0.0,0.0,0.0,13.504800000000003,April,4,0.0,0.0,0.0,138.58514285714287,0.0,0.0
2025,4,16,5.873,46.984,35,0.0,0.0,0.0,0.0,2025-04-16,10.0,0.0,0.0,0.0,11.984000000000002,April,4,0.0,0.0,0.0,134.24,0.0,0.0
2025,4,17,5.5486,44.3888,35,0.0,0.0,0.0,0.0,2025-04-17,10.0,0.0,0.0,0.0,9.388800000000003,April,4,0.0,0.0,0.0,126.82514285714286,0.0,0.0
2025,4,18,6.6742,53.3936,35,0.0,0.0,0.0,0.0,2025-04-18,10.0,0.0,0.0,0.0,18.3936,April,4,0.0,0.0,0.0,152.55314285714286,0.0,0.0
2025,4,19,5.671,45.368,35,0.0,0.0,0.0,0.0,2025-04-19,10.0,0.0,0.0,0.0,10.368000000000002,April,4,0.0,0.0,0.0,129.62285714285716,0.0,0.0
2025,4,20,6.6576,53.2608,35,0.0,0.0,0.0,0.0,2025-04-20,10.0,0.0,0.0,0.0,18.260800000000003,April,4,0.0,0.0,0.0,152.17371428571428,0.0,0.0
2025,4,21,7.0006,56.0048,35,0.0,0.0,0.0,0.0,2025-04-21,10.0,0.0,0.0,0.0,21.004800000000003,April,4,0.0,0.0,0.0,160.0137142857143,0.0,0.0
2025,4,22,5.2802,42.2416,35,0.0,0.0,0.0,0.0,2025-04-22,10.0,0.0,0.0,0.0,7.241599999999998,April,4,0.0,0.0,0.0,120.69028571428571,0.0,0.0
2025,4,23,6.8467,54.7736,35,0.0,0.0,0.0,0.0,2025-04-23,10.0,0.0,0.0,0.0,19.773600000000002,April,4,0.0,0.0,0.0,156.496,0.0,0.0
2025,4,24,5.9374,47.4992,35,0.0,0.0,0.0,0.0,2025-04-24,10.0,0.0,0.0,0.0,12.499200000000002,April,4,0.0,0.0,0.0,135.71200000000002,0.0,0.0
2025,4,25,6.1049,48.8392,35,0.0,0.0,0.0,0.0,2025-04-25,10.0,0.0,0.0,0.0,13.839199999999998,April,4,0.0,0.0,0.0,139.5405714285714,0.0,0.0
2025,4,26,4.3318,34.6544,35,0.34559999999999746,0.08639999999999937,129.59999999999906,155.51999999999884,2025-04-26,9.654400000000003,0.34559999999999746,0.08639999999999937,0.0,0.0,April,4,0.23155199999999831,0.23155199999999831,0.0,99.01257142857143,0.0,0.0
2025,4,27,6.0125,48.1,35,0.0,0.0,0.0,0.0,2025-04-27,10.0,0.0,0.0,0.0,13.100000000000001,April,4,0.0,0.0,0.0,137.42857142857144,0.0,0.0
2025,4,28,4.8576,38.8608,35,0.0,0.0,0.0,0.0,2025-04-28,10.0,0.0,0.0,0.0,3.8607999999999976,April,4,0.0,0.0,0.0,111.03085714285714,0.0,0.0
2025,4,29,5.7581,46.0648,35,0.0,0.0,0.0,0.0,2025-04-29,10.0,0.0,0.0,0.0,11.064799999999998,April,4,0.0,0.0,0.0,131.61371428571428,0.0,0.0
2025,4,30,6.9737,55.7896,35,0.0,0.0,0.0,0.0,2025-04-30,10.0,0.0,0.0,0.0,20.7896,April,4,0.0,0.0,0.0,159.39885714285714,0.0,0.0
2025,5,1,5.0954,40.7632,35,0.0,0.0,0.0,0.0,2025-05-01,10.0,0.0,0.0,0.0,5.763199999999998,May,5,0.0,0.0,0.0,116.4662857142857,0.0,0.0
2025,5,2,4.3918,35.1344,35,0.0,0.0,0.0,0.0,2025-05-02,10.0,0.0,0.0,0.0,0.1343999999999994,May,5,0.0,0.0,0.0,100.384,0.0,0.0
2025,5,3,4.7719,38.1752,35,0.0,0.0,0.0,0.0,2025-05-03,10.0,0.0,0.0,0.0,3.1751999999999967,May,5,0.0,0.0,0.0,109.07199999999999,0.0,0.0
2025,5,4,5.0822,40.6576,35,0.0,0.0,0.0,0.0,2025-05-04,10.0,0.0,0.0,0.0,5.657600000000002,May,5,0.0,0.0,0.0,116.16457142857143,0.0,0.0
2025,5,5,6.383,51.064,35,0.0,0.0,0.0,0.0,2025-05-05,10.0,0.0,0.0,0.0,16.064,May,5,0.0,0.0,0.0,145.89714285714285,0.0,0.0
2025,5,6,6.0377,48.3016,35,0.0,0.0,0.0,0.0,2025-05-06,10.0,0.0,0.0,0.0,13.3016,May,5,0.0,0.0,0.0,138.00457142857144,0.0,0.0
2025,5,7,6.1394,49.1152,35,0.0,0.0,0.0,0.0,2025-05-07,10.0,0.0,0.0,0.0,14.115200000000002,May,5,0.0,0.0,0.0,140.32914285714287,0.0,0.0
2025,5,8,6.1591,49.2728,35,0.0,0.0,0.0,0.0,2025-05-08,10.0,0.0,0.0,0.0,14.272799999999997,May,5,0.0,0.0,0.0,140.77942857142855,0.0,0.0
2025,5,9,6.0893,48.7144,35,0.0,0.0,0.0,0.0,2025-05-09,10.0,0.0,0.0,0.0,13.714399999999998,May,5,0.0,0.0,0.0,139.184,0.0,0.0
2025,5,10,5.7823,46.2584,35,0.0,0.0,0.0,0.0,2025-05-10,10.0,0.0,0.0,0.0,11.258400000000002,May,5,0.0,0.0,0.0,132.16685714285714,0.0,0.0
2025,5,11,6.156,49.248,35,0.0,0.0,0.0,0.0,2025-05-11,10.0,0.0,0.0,0.0,14.247999999999998,May,5,0.0,0.0,0.0,140.70857142857142,0.0,0.0
2025,5,12,6.803,54.424,35,0.0,0.0,0.0,0.0,2025-05-12,10.0,0.0,0.0,0.0,19.424,May,5,0.0,0.0,0.0,155.49714285714285,0.0,0.0
2025,5,13,5.4194,43.3552,35,0.0,0.0,0.0,0.0,2025-05-13,10.0,0.0,0.0,0.0,8.355200000000004,May,5,0.0,0.0,0.0,123.872,0.0,0.0
2025,5,14,5.6165,44.932,35,0.0,0.0,0.0,0.0,2025-05-14,10.0,0.0,0.0,0.0,9.932000000000002,May,5,0.0,0.0,0.0,128.37714285714284,0.0,0.0
2025,5,15,3.7651,30.1208,35,4.879200000000001,1.2198000000000002,1829.7000000000003,2195.6400000000003,2025-05-15,5.120799999999999,4.879200000000001,1.2198000000000002,0.0,0.0,May,5,3.2690640000000006,3.2690640000000006,0.0,86.05942857142857,0.0,0.0
